	id.base	id.uniprot	id.ensembl	id.entrez	id.HGNC	id.longname	group	family	subfamily	branch.val	branch.group	branch.col	node.x	node.y	node.group.col	node.val.col	node.val.radius	node.radius	node.col	node.strokewidth	node.strokecol	text.x	text.y	text.col	text.font	text.size	text.label	node.opacity	node.selected	branch.coords
0	AAK1	Q2M2I8	ENSG00000115977	22848	AAK1	AP2-associated protein kinase 1	Other	NAK		0	none	#D3D3D3	352.336	366.989	none	0	0	5	#D3D3D3	1	black	346.8112	368.3386	black	'Roboto-Bold'	3.25	AAK1	1	-1	M 452.94,336.25 C 452.94,336.23 452.93,336.21 452.93,336.2 C 452.93,336.2 451.03,325.12 451.01,324.99 C 450.98,324.8 450.3,320.05 450.24,319.59 C 449.82,316.11 449.44,312.63 449.02,309.15 L 446.02,309.44 C 446.02,309.44 446.14,310.49 446.15,310.59 V 310.62 C 446.17,310.8 447.67,322.45 447.68,322.53 C 447.96,324.38 449.41,332.83 449.41,332.83 C 449.63,333.99 450.14,336.57 450.16,336.69 L 449.77,336.96 L 449.5,337.16 L 449.31,337.31 C 448.79,337.7 448.29,338.12 447.76,338.49 C 443.55,341.56 438.82,343.91 433.91,345.77 C 431.45,346.7 428.93,347.5 426.39,348.22 C 423.83,348.89 421.27,349.57 418.67,350.11 C 408.3,352.37 397.64,353.73 387.31,356.75 C 382.16,358.26 377.1,360.2 372.37,362.79 C 371.55,363.24 370.74,363.72 369.94,364.21 L 369.12,364.69 C 368.91,364.8 368.66,364.86 368.34,364.89 C 366.96,365.06 365.64,365.27 364.29,365.72 C 362.97,366.18 361.78,366.81 360.55,367.23 C 359.33,367.65 358.04,367.88 356.85,367.55 L 356.61,368.37 C 358.04,368.79 359.52,368.53 360.83,368.1 C 362.16,367.67 363.36,367.05 364.59,366.65 C 365.36,366.41 366.19,366.24 367.02,366.11 C 367.49,366.04 367.97,365.98 368.43,365.93 C 368.78,365.9 369.2,365.83 369.59,365.63 C 369.59,365.63 371.04,364.79 371.31,364.63 C 371.83,364.33 372.36,364.04 372.89,363.77 C 377.57,361.31 382.58,359.49 387.68,358.08 C 397.92,355.27 408.54,354.09 419.06,351.99 C 421.69,351.48 424.31,350.83 426.92,350.2 C 429.53,349.51 432.11,348.74 434.66,347.82 C 439.75,345.99 444.71,343.64 449.19,340.48 C 449.68,340.15 450.22,339.74 450.72,339.37 C 450.8,339.31 450.89,339.25 450.96,339.19 C 452.49,338.02 452.73,337.92 452.91,337.27 C 453.01,336.83 452.97,336.5 452.94,336.25 Z
1	ABL1	P00519	ENSG00000097007	25	ABL1	Tyrosine-protein kinase ABL1	TK	Abl		0	none	#D3D3D3	274.286	178.808	none	0	0	5	#D3D3D3	1	black	271.5105	179.8826	black	'Roboto-Bold'	3.25	Abl	1	-1	M 454.23,271.76 C 453.37,265.19 450.76,259.17 448.17,253.4 C 446.87,250.5 445.55,247.64 444.4,244.73 C 443.25,241.83 442.25,238.85 441.32,235.84 C 439.46,229.82 437.86,223.66 435.71,217.62 C 433.58,211.57 430.78,205.74 427.41,200.28 C 425.73,197.55 423.89,194.91 421.93,192.38 C 420.9,190.97 419.68,189.74 418.52,188.53 V 188.52 C 418.35,188.35 418.17,188.15 417.97,187.96 C 417.81,187.8 417.64,187.64 417.45,187.48 C 417.05,187.13 416.41,186.68 415.8,186.56 C 415.21,186.43 414.74,186.42 414.28,186.39 L 406.14,186.04 C 404.35,185.96 402.56,185.86 400.8,185.67 C 394.81,185.01 389.06,184.07 383.16,182.72 C 382.88,182.66 382.61,182.59 382.33,182.53 C 376.7,181.23 371.14,179.67 365.68,177.79 C 355.13,174.17 344.94,169.53 334.64,165.12 C 334.41,165.02 334.18,164.92 333.96,164.83 C 333.84,164.78 333.72,164.74 333.59,164.69 C 333.21,164.55 332.73,164.44 332.28,164.46 C 331.83,164.46 331.4,164.57 331.04,164.66 L 329.94,164.95 C 327.12,165.75 324.26,166.31 321.37,166.7 C 318.87,167.04 316.36,167.19 313.84,167.19 C 313.21,167.19 312.58,167.18 311.95,167.16 C 311.85,167.16 311.75,167.17 311.65,167.17 C 310.89,167.19 309.99,167.47 309.33,167.76 C 309.03,167.88 308.74,168.01 308.45,168.13 C 308.08,168.29 307.72,168.44 307.35,168.57 C 306.72,168.8 306.03,168.97 305.34,169.11 C 303.97,169.41 302.56,169.57 301.15,169.65 C 298.32,169.81 295.46,169.63 292.59,169.47 C 291.43,169.41 290.26,169.35 289.09,169.32 C 288.97,169.32 288.86,169.31 288.74,169.31 C 288.11,169.33 287.35,169.42 286.77,169.84 C 286.57,169.98 286.39,170.12 286.22,170.26 C 285.82,170.6 285.48,170.93 285.08,171.23 C 282.89,172.98 280.36,174.33 277.68,175.16 L 277.93,175.98 C 280.73,175.14 283.36,173.76 285.66,171.96 C 286.24,171.53 286.78,170.97 287.29,170.63 C 287.77,170.3 288.33,170.28 289.01,170.28 C 290.18,170.31 291.36,170.38 292.53,170.45 C 295.39,170.63 298.29,170.84 301.2,170.7 C 302.66,170.63 304.12,170.48 305.56,170.17 C 306.28,170.02 306.99,169.85 307.72,169.6 C 308.43,169.35 309.09,169.05 309.74,168.79 C 310.41,168.52 310.97,168.36 311.65,168.34 C 311.73,168.34 311.82,168.33 311.91,168.33 C 315.12,168.45 318.34,168.35 321.53,167.93 C 324.47,167.56 327.41,167 330.26,166.22 C 330.98,166.06 331.73,165.8 332.26,165.79 C 332.47,165.78 332.7,165.82 332.94,165.9 C 343.58,170.52 354.13,175.48 365.16,179.35 C 370.93,181.39 376.83,183.07 382.78,184.46 C 384.02,184.75 386.9,185.43 387.07,185.48 C 388.03,185.74 388.91,185.89 389.8,186.06 C 391.59,186.4 393.38,186.71 395.18,186.99 C 396.98,187.27 398.77,187.52 400.59,187.74 C 400.72,187.75 401.01,187.79 401.03,187.79 C 402.71,187.97 404.39,188.08 406.06,188.16 L 414.16,188.56 C 414.61,188.59 415.14,188.67 415.43,188.74 C 415.71,188.8 415.87,188.9 416.16,189.13 C 416.68,189.6 417.37,190.37 417.97,190.98 V 190.97 C 418.8,191.85 419.59,192.72 420.27,193.68 C 422.17,196.17 423.94,198.76 425.57,201.43 C 428.83,206.78 431.51,212.47 433.55,218.39 C 435.62,224.31 437.17,230.45 439,236.56 C 439.92,239.61 440.91,242.66 442.08,245.66 C 443.24,248.66 444.56,251.56 445.83,254.46 C 448.38,260.23 450.82,266.04 451.56,272.11 C 452.32,278.19 451.55,284.43 450.2,290.51 L 449.66,292.8 C 449.48,293.55 449.28,294.27 449.05,295.01 L 447.58,299.52 C 446.6,302.59 445.86,306.03 446.05,309.45 L 449.05,309.16 C 448.87,306.22 449.46,303.35 450.38,300.39 L 451.82,295.85 C 452.05,295.08 452.27,294.27 452.46,293.47 L 452.99,291.12 C 454.3,284.84 455.09,278.29 454.23,271.76 Z
2	ABL2	P42684	ENSG00000143322	27	ABL2	Abelson tyrosine-protein kinase 2	TK	Abl		0	none	#D3D3D3	271.987	174.51	none	0	0	5	#D3D3D3	1	black	269.2045	175.3099	black	'Roboto-Bold'	3.25	Arg	1	-1	M 454.23,271.76 C 453.37,265.19 450.76,259.17 448.17,253.4 C 446.87,250.5 445.55,247.64 444.4,244.73 C 443.25,241.83 442.25,238.85 441.32,235.84 C 439.46,229.82 437.86,223.66 435.71,217.62 C 433.58,211.57 430.78,205.74 427.41,200.28 C 425.73,197.55 423.89,194.91 421.93,192.38 C 420.9,190.97 419.68,189.74 418.52,188.53 V 188.52 C 418.35,188.35 418.17,188.15 417.97,187.96 C 417.81,187.8 417.64,187.64 417.45,187.48 C 417.05,187.13 416.41,186.68 415.8,186.56 C 415.21,186.43 414.74,186.42 414.28,186.39 L 406.14,186.04 C 404.35,185.96 402.56,185.86 400.8,185.67 C 394.81,185.01 389.06,184.07 383.16,182.72 C 382.88,182.66 382.61,182.59 382.33,182.53 C 376.7,181.23 371.14,179.67 365.68,177.79 C 355.13,174.17 344.94,169.53 334.64,165.12 C 334.41,165.02 334.18,164.92 333.96,164.83 C 333.84,164.78 333.72,164.74 333.59,164.69 C 333.21,164.55 332.73,164.44 332.28,164.46 C 331.83,164.46 331.4,164.57 331.04,164.66 L 329.94,164.95 C 327.12,165.75 324.26,166.31 321.37,166.7 C 318.87,167.04 316.36,167.19 313.84,167.19 C 313.21,167.19 312.58,167.18 311.95,167.16 C 311.85,167.16 311.75,167.17 311.65,167.17 C 310.89,167.19 309.99,167.47 309.33,167.76 C 309.03,167.88 308.74,168.01 308.45,168.13 C 308.08,168.29 307.72,168.44 307.35,168.57 C 306.72,168.8 306.03,168.97 305.34,169.11 C 303.97,169.41 302.56,169.57 301.15,169.65 C 298.32,169.81 295.46,169.63 292.59,169.47 C 289.71,169.31 286.81,169.2 283.9,169.48 C 281,169.75 278.08,170.46 275.5,171.93 L 275.92,172.67 C 278.37,171.3 281.16,170.64 283.98,170.39 C 286.8,170.14 289.66,170.27 292.52,170.45 C 295.38,170.63 298.28,170.84 301.19,170.7 C 302.65,170.63 304.11,170.48 305.55,170.17 C 306.27,170.02 306.98,169.85 307.71,169.6 C 308.42,169.35 309.08,169.05 309.73,168.79 C 310.4,168.52 310.96,168.36 311.64,168.34 C 311.72,168.34 311.81,168.33 311.9,168.33 C 315.11,168.45 318.33,168.35 321.52,167.93 C 324.46,167.56 327.4,167 330.25,166.22 C 330.97,166.06 331.72,165.8 332.25,165.79 C 332.46,165.78 332.69,165.82 332.93,165.9 C 343.57,170.52 354.12,175.48 365.15,179.35 C 370.92,181.39 376.82,183.07 382.77,184.46 C 384.01,184.75 386.89,185.43 387.06,185.48 C 388.02,185.74 388.9,185.89 389.79,186.06 C 391.58,186.4 393.37,186.71 395.17,186.99 C 396.97,187.27 398.76,187.52 400.58,187.74 C 400.71,187.75 401,187.79 401.02,187.79 C 402.7,187.97 404.38,188.08 406.05,188.16 L 414.15,188.56 C 414.6,188.59 415.13,188.67 415.42,188.74 C 415.7,188.8 415.86,188.9 416.15,189.13 C 416.67,189.6 417.36,190.37 417.96,190.98 V 190.97 C 418.79,191.85 419.58,192.72 420.26,193.68 C 422.16,196.17 423.93,198.76 425.56,201.43 C 428.82,206.78 431.5,212.47 433.54,218.39 C 435.61,224.31 437.16,230.45 438.99,236.56 C 439.91,239.61 440.9,242.66 442.07,245.66 C 443.23,248.66 444.55,251.56 445.82,254.46 C 448.37,260.23 450.81,266.04 451.55,272.11 C 452.31,278.19 451.54,284.43 450.19,290.51 L 449.65,292.8 C 449.47,293.55 449.27,294.27 449.04,295.01 L 447.57,299.52 C 446.59,302.59 445.85,306.03 446.04,309.45 L 449.04,309.16 C 448.86,306.22 449.45,303.35 450.37,300.39 L 451.81,295.85 C 452.04,295.08 452.26,294.27 452.45,293.47 L 452.98,291.12 C 454.3,284.84 455.09,278.29 454.23,271.76 Z
3	ACK	Q07912	ENSG00000061938	10188	TNK2	Activated CDC42 kinase 1	TK	Ack		0	none	#D3D3D3	407.296	112.116	none	0	0	5	#D3D3D3	1	black	404.4078	114.3033	black	'Roboto-Bold'	3.25	Ack	1	-1	M 454.23,271.76 C 453.37,265.19 450.76,259.17 448.17,253.4 C 446.87,250.5 445.55,247.64 444.4,244.73 C 443.25,241.83 442.25,238.85 441.32,235.84 C 439.46,229.82 437.86,223.66 435.71,217.62 C 433.58,211.57 430.78,205.74 427.41,200.28 C 425.73,197.55 423.89,194.91 421.93,192.38 C 421.79,192.11 421.66,191.75 421.57,191.47 L 420.8,188.87 C 420.47,187.71 420.15,186.55 419.87,185.38 C 418.73,180.75 418.35,175.92 418.36,171.11 C 418.38,167.07 418.72,163.04 419.24,159.02 H 419.26 C 419.36,158.23 419.46,157.51 419.55,156.8 C 419.69,155.65 419.81,154.55 419.83,153.21 C 419.87,151.68 419.73,150.12 419.42,148.61 C 419.3,147.99 419.14,147.39 418.96,146.8 C 418.36,144.74 417.43,142.31 416.64,140.35 C 415.85,138.39 415.07,136.45 414.46,134.47 C 413.87,132.49 413.47,130.42 413.12,128.37 C 413.07,128.06 413.02,127.76 412.98,127.45 C 412.9,126.9 412.83,126.35 412.76,125.8 C 412.65,125.27 412.47,124.74 412.25,124.25 C 412.05,123.82 411.82,123.41 411.57,123.02 C 411.22,122.48 410.83,121.98 410.43,121.51 C 409.73,120.68 409.02,119.94 408.5,119.07 C 407.97,118.22 407.64,117.27 407.75,116.34 L 406.9,116.23 C 406.75,117.42 407.17,118.58 407.74,119.52 C 408.3,120.48 409.06,121.29 409.72,122.09 C 410.38,122.89 410.98,123.72 411.38,124.63 C 411.58,125.09 411.73,125.56 411.83,126.05 C 411.92,126.87 412.03,127.7 412.15,128.52 C 412.48,130.62 412.86,132.7 413.45,134.77 C 414.05,136.82 414.83,138.8 415.59,140.76 C 417.11,144.68 418.66,148.6 418.43,152.73 C 418.41,153.48 418.36,154.24 418.29,155 C 417.43,160.31 416.79,165.66 416.71,171.09 C 416.66,176 416.99,180.95 418.13,185.79 C 418.38,186.86 418.65,187.91 418.94,188.96 C 418.98,189.09 419.81,192.01 419.81,192.01 C 419.91,192.34 420.02,192.65 420.15,192.96 C 420.46,193.68 420.83,194.35 421.23,194.99 C 421.79,195.88 422.41,196.7 423.01,197.5 C 423.89,198.79 424.73,200.1 425.54,201.43 C 428.8,206.78 431.48,212.47 433.52,218.39 C 435.59,224.31 437.14,230.45 438.97,236.56 C 439.89,239.61 440.88,242.66 442.05,245.66 C 443.21,248.66 444.53,251.56 445.8,254.46 C 448.35,260.23 450.79,266.04 451.53,272.11 C 452.29,278.19 451.52,284.43 450.17,290.51 L 449.63,292.8 C 449.45,293.55 449.25,294.27 449.02,295.01 L 447.55,299.52 C 446.57,302.59 445.83,306.03 446.02,309.45 L 449.02,309.16 C 448.84,306.22 449.43,303.35 450.35,300.39 L 451.79,295.85 C 452.02,295.08 452.24,294.27 452.43,293.47 L 452.96,291.12 C 454.3,284.84 455.09,278.29 454.23,271.76 Z
4	ACTR2	P27037	ENSG00000121989	92	ACVR2A	Activin receptor type-2A	TKL	STKR	STKR2	0	none	#D3D3D3	546.905	174.77	none	0	0	5	#D3D3D3	1	black	543.3634	175.9095	black	'Roboto-Bold'	3.25	ACtR2	1	-1	M 541.93,174.77 C 535.96,178.75 530.09,182.92 524.6,187.58 C 521.85,189.9 519.21,192.36 516.7,194.96 C 514.18,197.55 511.87,200.33 509.59,203.09 C 507.47,205.65 505.34,208.2 503.04,210.55 C 502.87,210.73 502.69,210.91 502.51,211.09 C 501.26,212.32 499.94,213.57 498.58,214.56 C 497.87,215.07 497.02,215.61 496.34,216.35 C 496.18,216.52 496.02,216.7 495.87,216.87 C 495.78,216.98 495.68,217.09 495.59,217.2 C 494.33,218.71 493.04,220.19 491.7,221.63 C 488.79,224.73 485.65,227.6 482.24,230.09 C 480.53,231.33 478.76,232.47 476.92,233.5 C 476.88,233.52 476.84,233.54 476.81,233.56 C 476.39,233.79 475.97,234.03 475.53,234.24 L 474.83,234.6 C 474.62,234.71 474.25,234.89 474,235.08 C 473.23,235.61 472.66,236.28 472.19,236.96 C 472.01,237.27 471.82,237.58 471.64,237.88 C 468.91,242.44 466.09,246.94 463.17,251.38 C 461.77,253.51 460.35,255.63 458.91,257.73 C 458.91,257.73 453.18,265.86 453.06,266.03 C 452.79,266.4 452.51,266.81 452.26,267.27 C 451.89,267.92 451.59,268.71 451.48,269.54 C 451.4,270.22 451.41,270.86 451.45,271.42 C 451.46,271.54 451.5,271.77 451.5,271.77 C 451.52,271.88 451.53,271.99 451.54,272.1 C 452.3,278.18 451.53,284.42 450.18,290.5 L 449.64,292.79 C 449.46,293.54 449.26,294.26 449.03,295 L 447.56,299.51 C 446.58,302.58 445.84,306.02 446.03,309.44 L 449.03,309.15 C 448.85,306.21 449.44,303.34 450.36,300.38 L 451.8,295.84 C 452.03,295.07 452.25,294.26 452.44,293.46 L 452.97,291.11 C 454.32,284.84 455.1,278.28 454.24,271.75 C 454.2,271.44 454.16,271.13 454.11,270.82 C 454.03,269.92 454.13,269.3 454.56,268.52 C 454.8,268.07 455.16,267.59 455.53,267.04 L 461,259.13 C 462.43,257 463.84,254.86 465.23,252.7 C 468.47,247.67 471.59,242.56 474.6,237.39 C 474.8,237.18 475.01,236.99 475.23,236.84 C 475.41,236.71 475.53,236.65 475.79,236.51 L 476.52,236.13 C 477.01,235.88 477.49,235.61 477.96,235.34 C 479.87,234.25 481.7,233.04 483.46,231.74 C 486.97,229.13 490.17,226.14 493.11,222.93 C 494.96,220.91 496.7,218.82 498.39,216.69 C 498.74,216.41 499.12,216.13 499.52,215.84 C 501.04,214.7 502.31,213.45 503.6,212.16 C 506.14,209.56 508.42,206.76 510.67,203.97 C 512.92,201.18 515.16,198.41 517.61,195.83 C 520.05,193.24 522.63,190.77 525.33,188.44 C 530.72,183.75 536.51,179.53 542.41,175.48 Z
5	ACTR2B	Q13705	ENSG00000114739	93	ACVR2B	Activin receptor type-2B	TKL	STKR	STKR2	0	none	#D3D3D3	548.493	178.91	none	0	0	5	#D3D3D3	1	black	545.4043	179.8223	black	'Roboto-Bold'	3.25	ACtR2B	1	-1	M 541.29,178.57 C 540.4,178.89 539.58,179.35 538.81,179.81 C 537.3,180.74 535.71,181.43 533.99,181.48 H 533.98 C 533.77,181.49 533.56,181.49 533.35,181.49 C 533.11,181.49 532.82,181.51 532.56,181.58 C 532.17,181.68 531.83,181.86 531.53,182.07 C 531.32,182.23 531.11,182.39 530.9,182.54 C 528.76,184.16 526.66,185.83 524.6,187.57 C 521.85,189.89 519.21,192.35 516.7,194.95 C 514.18,197.54 511.87,200.32 509.59,203.08 C 507.47,205.64 505.34,208.19 503.04,210.54 C 502.87,210.72 502.69,210.9 502.51,211.08 C 501.26,212.31 499.94,213.56 498.58,214.55 C 497.87,215.06 497.02,215.6 496.34,216.34 C 496.18,216.51 496.02,216.69 495.87,216.86 C 495.78,216.97 495.68,217.08 495.59,217.19 C 494.33,218.7 493.04,220.18 491.7,221.62 C 488.79,224.72 485.65,227.59 482.24,230.08 C 480.53,231.32 478.76,232.46 476.92,233.49 C 476.88,233.51 476.84,233.53 476.81,233.55 C 476.39,233.78 475.97,234.02 475.53,234.23 L 474.83,234.59 C 474.62,234.7 474.25,234.88 474,235.07 C 473.23,235.6 472.66,236.27 472.19,236.95 C 472.01,237.26 471.82,237.57 471.64,237.87 C 468.91,242.43 466.09,246.93 463.17,251.37 C 461.77,253.5 460.35,255.62 458.91,257.72 C 458.91,257.72 453.18,265.85 453.06,266.02 C 452.79,266.39 452.51,266.8 452.26,267.26 C 451.89,267.91 451.59,268.7 451.48,269.53 C 451.4,270.21 451.41,270.85 451.45,271.41 C 451.46,271.53 451.5,271.76 451.5,271.76 C 451.52,271.87 451.53,271.98 451.54,272.09 C 452.3,278.17 451.53,284.41 450.18,290.49 L 449.64,292.78 C 449.46,293.53 449.26,294.25 449.03,294.99 L 447.56,299.5 C 446.58,302.57 445.84,306.01 446.03,309.43 L 449.03,309.14 C 448.85,306.2 449.44,303.33 450.36,300.37 L 451.8,295.83 C 452.03,295.06 452.25,294.25 452.44,293.45 L 452.97,291.1 C 454.32,284.83 455.1,278.27 454.24,271.74 C 454.2,271.43 454.16,271.12 454.11,270.81 C 454.03,269.91 454.13,269.29 454.56,268.51 C 454.8,268.06 455.16,267.58 455.53,267.03 L 461,259.12 C 462.43,256.99 463.84,254.85 465.23,252.69 C 468.47,247.66 471.59,242.55 474.6,237.38 C 474.8,237.17 475.01,236.98 475.23,236.83 C 475.41,236.7 475.53,236.64 475.79,236.5 L 476.52,236.12 C 477.01,235.87 477.49,235.6 477.96,235.33 C 479.87,234.24 481.7,233.03 483.46,231.73 C 486.97,229.12 490.17,226.13 493.11,222.92 C 494.96,220.9 496.7,218.81 498.39,216.68 C 498.74,216.4 499.12,216.12 499.52,215.83 C 501.04,214.69 502.31,213.44 503.6,212.15 C 506.14,209.55 508.42,206.75 510.67,203.96 C 512.92,201.17 515.16,198.4 517.61,195.82 C 520.05,193.23 522.63,190.76 525.33,188.43 C 527.6,186.45 529.95,184.56 532.34,182.72 C 532.49,182.64 532.64,182.57 532.79,182.53 C 532.96,182.48 533.13,182.47 533.33,182.47 C 533.56,182.47 533.8,182.46 534.03,182.45 C 534.97,182.4 535.91,182.2 536.8,181.86 C 537.68,181.52 538.49,181.07 539.27,180.6 C 540.76,179.69 542.39,178.83 544,179.11 L 544.16,178.27 C 543.18,178.08 542.17,178.25 541.29,178.57 Z
6	ADCK1	Q86TW2	ENSG00000063761	57143	ADCK1	Uncharacterized aarF domain-containing protein kinase 1	Atypical	ABC1	ABC1-B	0	none	#D3D3D3	784.465	104.364	none	0	0	5	#D3D3D3	1	black	781.6752	105.4207	black	'Roboto-Bold'	3.25	ADCK1	1	-1	M 743.6,103.832 C 742.222,103.832 741.1,104.953 741.1,106.332 V 106.549 H 734.789 C 733.135,106.549 731.789,107.895 731.789,109.549 V 116.753 H 732.789 V 109.549 C 732.789,108.446 733.686,107.549 734.789,107.549 H 742.1 V 106.332 C 742.1,105.505 742.773,104.832 743.6,104.832 H 780.1 V 103.832 Z
7	ADCK2	Q7Z695	ENSG00000133597	90956	ADCK2	Uncharacterized aarF domain-containing protein kinase 2	Atypical	ABC1	ABC1-C	0	none	#D3D3D3	791.876	125.596	none	0	0	5	#D3D3D3	1	black	789.2023	126.6446	black	'Roboto-Bold'	3.25	ADCK2	1	-1	M 734.789,125.083 C 733.686,125.083 732.789,124.186 732.789,123.083 V 117.761 H 731.789 V 123.083 C 731.789,124.737 733.135,126.083 734.789,126.083 H 787.498 V 125.083 Z
8	ADCK3	Q8NI60	ENSG00000163050	56997	COQ8A	Chaperone activity of bc1 complex-like	Atypical	ABC1	ABC1-A	0	none	#D3D3D3	791.507	114.82	none	0	0	5	#D3D3D3	1	black	788.7451	115.8269	black	'Roboto-Bold'	3.25	ADCK3	1	-1	M 762.642,114.124 C 761.264,114.124 760.142,115.245 760.142,116.624 V 116.757 H 731.797 V 117.757 H 761.142 V 116.624 C 761.142,115.797 761.815,115.124 762.642,115.124 H 787.137 V 114.124 Z
9	ADCK4	Q96D53	ENSG00000123815	79934	COQ8B	Uncharacterized aarF domain-containing protein kinase 4	Atypical	ABC1	ABC1-A	0	none	#D3D3D3	792.209	119.82	none	0	0	5	#D3D3D3	1	black	789.4669	120.9685	black	'Roboto-Bold'	3.25	ADCK4	1	-1	M 762.642,119.391 C 761.815,119.391 761.142,118.718 761.142,117.891 V 116.757 H 731.797 V 117.757 H 760.142 V 117.891 C 760.142,119.27 761.264,120.391 762.642,120.391 H 787.857 V 119.391 Z
