label	x	y	color	size	notes
ABC1	709.5648	117.5302	black	10	Atypical
Alpha	707.5311	149.8009	black	10	Atypical
Brd	713.6572	180.4477	black	10	Atypical
PDHK	707.6708	207.9581	black	10	Atypical
PIKK	710.8926	241.306	black	10	Atypical
RIO	713.4592	270.3408	black	10	Atypical
TIF1	711.8387	290.2847	black	10	Atypical
Atypical Kinases	724.2949	87.9301	black	14	Atypical kinases group label
STE	630.7547	194.3814	black	15	
CK1	612.7784	338.743	black	15	
AGC	621.9781	493.4888	black	15	
CAMK	488.747	579.64	black	15	
CMGC	224.9432	295.8514	black	15	
TK	232.4214	134.5237	black	15	
TKL	556.7155	125.6519	black	15	
