protein	abundance
P62805	96180544
Q99879	68533712
P06702	40591028
P04406-2	38263788
P05387	34399256
P62258	29986856
P62979	29621364
P62937	28060916
P04792	25244580
P07737	22173596
Q99878	21646672
P63261	21471748
Q71DI3	21007740
P63241	20826492
Q16778	20770004
P31949	20716104
P61604	20300428
P21796	19869852
P06733	18912604
P09211	18770832
P04179	18411414
P62841	17566756
P05109	17342292
P68363	16876630
P10599	16444919
P06748-2	16410487
P00338	15148352
P07355	15004274
Q16777	14661886
P23528	14248015
P29034	13760796
P62851	13611068
Q96FQ6	13573885
Q06830	13242354
P14174	13199438
P14618	13115991
P62857	13067746
P62826	12843381
P68104	12025282
P10809	11766732
P40926	11729382
O75531	11402733
P09382	11312133
P68371	11193603
P62263	11108558
P04080	10801195
P06703	10791656
P62277	10535481
P63104	10258891
P25705	9994962
P04083	9936167
P63220	9642434
P62829	9479500
P63313	9405224
P60174-1	9402885
P42677	9366674
P30041	9364067
P62081	9262526
P10412	9015345
P31947	9015273
P49773	8965494
P00558	8785424
P62750	8674559
P04075	8672715
P08670	8544104
P06576	8482395
P06454-2	8459340
P04406	8348426
P0CW22	8211363
P60903	8143071
P31946-2	8022343
P60866	7885241
P30044-2	7656738
P07910-2	7602004
P62899	7455620
P22626	7069465
P11142	7018781
P62913	6931380
P61353	6799941
P35268	6764237
Q01105	6759395
P62158	6742120
P07108	6678531
P39019	6648806
Q9HCY8	6524338
Q99584	6511972
P61978-2	6466484
P05783	6351302
P20962	6232671
P07437	6223463
P62269	6205382
P63173	6193577
P30050	6163663
P25398	6123286
P37802	6092950
P18621	6062158
P07195	5969033
P22392-2	5865100
P62328	5862633
P84077	5799641
P46783	5708003
P62244	5667373
P45880	5603839
P62910	5578759
P62314	5564236
P08238	5546291
P13693	5499899
P27797	5477446
P62249	5455357
P16401	5295157
P36952	5263289
P50914	5259245
Q71UI9	5203518
P09651	5201453
P61254	5157620
P18124	5124865
P38646	5121113
P62241	5108027
Q9P1F3	5087041
P62847-2	5071249
P62854	5064012
P08758	4947279
P08865	4947122
P12236	4912548
P46781	4836576
Q01469	4803675
P09429	4785310
P49207	4762842
Q07020	4748703
P15880	4734844
P37108	4702956
P32119	4693216
Q99497	4663214
P07900	4651138
P62424	4623124
Q07021	4592539
P62316	4518323
P23284	4471887
P30101	4463997
P60660-2	4432771
Q9NZJ9-2	4407369
Q99623	4368646
P20290	4344122
P26373	4313700
Q71UM5	4311899
P15531	4292690
P01040	4286915
O75367-3	4279219
P11021	4257384
O00299	4243796
P30086	4241135
P62906	4236785
P62280	4235701
P46776	4230265
P46778	4227375
P32969	4220243
P31946	4191888
P00441	4140229
P06753-3	4110420
P30048-2	4058668
P47914	4047999
P83731	4032442
P50454	4029470
P62308	4020701
P62701	4006501
P60842	3947486
P35232	3936360
Q9Y3U8	3934149
P05141	3916707
P14324-2	3848110
P68032	3770596
Q02878	3759349
P29401	3755063
P24534	3709076
P30048	3691508
P62942	3654411
P61956-2	3574148
P36578	3558428
P56385	3536558
P23396	3489281
P19105	3460703
P62861	3445003
Q59GN2	3436174
P17931	3398574
O14737	3361445
P30046	3338995
P61247	3332622
P61088	3319371
P62318-2	3308000
O75347	3307952
Q01628	3262256
P05388	3259009
P62888	3256804
P51858	3244310
Q15084-5	3242675
Q8NC51-3	3236272
P40261	3222757
P27635	3213997
P62266	3188563
P62917	3174981
P55060-3	3150137
Q9H299	3138141
O43399	3122328
P39687	3100893
P18669	3074957
P48047	3059209
P43490	3030046
P25815	2992746
Q9HB71	2986145
P18077	2950710
Q15843	2939828
P46777	2931460
P49411	2931420
P84098	2925585
Q9H0U4	2922610
P16949	2889650
P20674	2865956
P07954-2	2836091
P84103-2	2832054
P14927	2828397
P39023	2826199
P15121	2826183
P61769	2803968
P51991-2	2795310
P28066	2761220
P16403	2756264
P62306	2728667
P29692	2722482
P53999	2719996
P62807	2695547
P42766	2688949
P00403	2678774
P59998	2678012
Q15084-3	2668757
P84101-4	2666754
P09669	2635561
Q96AG4	2633970
Q04760	2615333
O75947	2603488
P60953	2569439
Q9GZP8	2550621
P40429	2538780
P06744	2515347
P60900	2510437
P61981	2502014
P49755	2487522
P22695	2478026
P84090	2464392
P35080-2	2459229
P61960	2455902
P30049	2454930
P13804	2452179
P19338	2445097
P35613-4	2442848
P54819-2	2438107
P05976-2	2437054
Q14019	2433292
O75964	2433251
O14818	2413078
Q9Y696	2408082
P56134-3	2390715
O95777	2388858
P63167	2379536
P34897-3	2378042
Q03135	2372307
P61313	2364744
P13073	2349176
P07858	2348629
Q9UBQ7	2342133
P24752	2337865
P17066	2335949
P08107	2334254
Q9Y5L4	2305180
Q04837	2300306
P14625	2295393
P67809	2273271
Q15365	2271469
P46779	2267802
P30043	2257765
Q9UK76	2227774
P50395	2227607
P31943	2203557
P02545	2197524
Q13151	2195002
P26583	2190218
P04632	2186907
Q9Y2V2	2186543
Q13838	2174298
P07900-2	2164430
P78371	2162483
P13639	2156211
P61026	2143830
P00918	2143195
O00244	2124920
P25787	2115261
P00387-2	2112847
P14406	2110244
P0DJI8	2101571
Q14103-3	2101238
P07237	2099132
Q15907	2087295
P00167-2	2079537
Q00325-2	2077578
P02794	2077022
